2015-09-28 08:54:02,329 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.himline:sample:1.0.0-BUILD-SNAPSHOT @ D:\_Workspace\sanjeev.katoch\Sample-SpringMVC\pom.xml.
2015-09-28 08:54:11,740 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.himline:sample:1.0.0-BUILD-SNAPSHOT @ D:\_Workspace\sanjeev.katoch\Sample-SpringMVC\pom.xml.
2015-09-28 08:54:17,365 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-28 08:54:17,387 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-28 08:54:17,405 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-28 08:54:17,412 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-28 08:54:19,337 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.himline:sample:1.0.0-BUILD-SNAPSHOT @ D:\_Workspace\sanjeev.katoch\Sample-SpringMVC\pom.xml.
2015-09-28 08:54:19,816 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.himline:sample:1.0.0-BUILD-SNAPSHOT @ D:\_Workspace\sanjeev.katoch\Sample-SpringMVC\pom.xml.
2015-09-28 08:54:20,818 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-28 08:54:20,844 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-09-28 08:54:20,953 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
